2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24
244,177,207,230,202,243,216
0,0,0,61,155,143,78
59,71,88,103,127,125,47
90,112,59,80,211,221,81
201,210,221,187,161,240,454
104,104,90,107,88,76,104
101,94,113,132,152,200,124
49,55,73,46,68,89,68
180,213,226,208,220,310,246
90,139,93,84,92,115,60
114,96,77,73,53,58,89
43,51,49,60,62,87,35
225,223,236,248,228,256,285
51,56,45,28,59,41,58
107,123,127,145,168,226,121
58,41,43,57,50,67,38
82,81,84,86,147,114,81
75,3,0,59,117,81,80
152,149,143,102,142,246,159
162,149,172,150,128,119,159
67,73,73,79,138,139,74
81,101,98,115,131,124,103
12,12,12,6,3,1,28
65,56,49,138,202,204,77
115,97,115,153,152,146,110
57,69,64,52,144,148,63
68,69,80,70,93,101,96
67,39,44,81,97,103,67
83,81,93,100,183,195,110
31,43,39,45,56,66,46
311,381,224,244,593,508,305
410,462,429,452,179,104,427
66,57,60,71,123,74,60
350,347,333,423,521,446,362
110,136,166,127,219,206,98
55,74,76,68,64,82,52
217,227,202,205,239,346,187
93,95,111,86,60,66,121
286,198,195,210,189,386,286
92,82,86,70,89,120,75
170,160,144,169,265,353,157
106,91,62,100,95,82,80
49,74,72,98,81,107,60
73,56,49,57,71,78,76
31,35,37,38,53,49,25
207,178,128,145,192,194,210
180,152,138,171,98,101,150
360,388,348,423,563,636,347
388,398,315,323,498,709,481
61,68,69,71,61,88,66
84,52,59,63,49,43,70
49,52,50,90,136,123,39
120,122,127,154,145,121,126
356,357,286,341,335,324,318
342,324,353,405,339,398,330
52,61,65,68,91,58,69
251,277,283,295,289,245,259
1376,1438,1629,1576,1641,2103,1743
153,160,165,263,188,160,178
168,167,172,180,161,134,154
83,79,87,80,103,109,88
79,77,56,74,93,81,79
217,176,146,220,192,288,181
155,139,110,101,119,103,159
311,310,342,383,536,675,321
71,51,72,95,86,97,69
60,62,53,64,83,80,56
44,41,58,60,76,56,63
99,81,97,102,134,126,99
47,56,49,66,81,77,52
142,166,139,191,152,132,194
306,476,548,519,657,632,511
101,88,107,103,106,113,92
93,106,107,117,116,131,117
95,117,95,95,79,68,70
35,43,10,7,92,51,65
95,124,116,148,112,146,150
63,52,52,40,35,48,56
164,150,152,141,35,77,147
46,70,71,58,63,78,63
145,96,95,78,94,134,136
100,107,107,107,90,74,111
123,130,98,133,157,203,99
162,178,174,152,189,286,153
73,57,55,85,102,102,65
123,111,117,137,156,181,122
133,147,118,114,21,18,140
405,474,347,529,587,622,407
28,38,38,60,76,52,42
213,178,162,173,226,373,193
87,103,83,81,119,117,103
112,106,106,150,203,193,108
144,132,187,105,146,92,181
96,91,112,60,94,70,88
108,108,100,120,75,82,111
91,97,110,114,138,168,122
178,198,154,167,184,187,195
73,59,83,63,87,76,82
79,56,66,54,35,49,68
424,359,366,438,330,263,367
101,110,95,113,122,173,139
124,138,139,119,118,144,144
64,67,68,67,70,63,61
115,99,98,131,93,70,89
81,66,65,104,145,182,64
57,48,64,58,84,65,70
57,51,60,92,158,174,71
85,67,84,81,131,139,93
111,124,129,122,100,98,123
166,154,153,133,142,121,138
56,58,66,69,110,76,68
101,86,164,140,175,144,117
155,165,142,150,84,115,105
603,603,559,626,381,570,585
438,473,449,450,361,451,519
412,446,507,379,388,404,567
116,117,137,156,243,251,104
73,70,74,66,26,28,83
37,45,35,63,88,93,36
223,248,254,240,297,420,279
54,47,50,48,56,59,41
60,42,61,68,67,77,50
102,108,80,73,127,110,98
278,376,397,356,375,587,395
47,43,28,40,51,43,48
124,115,112,95,100,94,112
113,55,50,54,119,97,57
31,58,40,58,103,94,32
172,160,188,228,259,279,158
322,340,232,256,358,310,345
76,71,54,74,95,53,78
57,54,64,75,82,64,34
113,103,101,96,71,69,103
425,450,364,386,346,383,448
158,129,135,116,120,208,183
115,95,84,103,99,82,109
79,81,85,94,74,56,88
280,276,238,239,140,208,260
54,49,65,77,154,123,41
387,429,325,351,184,166,332
45,49,29,29,65,82,45
459,410,408,451,197,186,462
123,124,130,134,103,91,106
95,114,72,79,133,211,107
55,64,50,73,75,70,67
454,464,449,546,757,756,489
127,131,121,126,103,124,141
80,65,58,98,93,79,63
129,168,155,177,269,215,168
36,80,63,43,118,88,61
167,92,97,94,71,60,85
48,45,40,60,71,69,45
52,50,64,79,103,78,71
84,99,99,115,68,73,109
101,111,116,136,154,159,125
115,157,169,36,238,167,140
85,104,68,104,145,128,94
56,73,33,82,58,59,69
46,57,48,60,85,82,57
326,325,318,275,83,103,306
133,130,88,173,123,136,142
64,60,75,85,85,64,83
79,75,80,86,96,143,76
178,212,236,218,139,126,192
105,108,48,110,115,139,109
41,47,45,69,169,117,38
130,148,165,135,111,136,182
123,116,113,97,91,98,116
83,98,105,124,180,189,95
47,46,38,56,75,92,36
237,254,232,273,211,246,258
164,146,137,127,313,311,141
161,175,135,152,174,249,170
188,199,143,204,151,238,242
91,65,80,116,195,174,79
